Generation, Best_Individual, Best_Fitness, Worst_Individual, Worst_Fitness, Avg_Fitness, Var_Fitness, StdDev_Fitness, Med_Fitness
0, WSYSHWDZZABXCXC, 0.2623383104801178, BPCSLDFDWIVGGLX, -0.6099787354469299, -0.14731954450586013, 0.08289547299030907, 0.28791573939315834, -0.04127955064177513
1, WBOSGLDZZABXCXC, 0.5256090760231018, ZRQTHZPJVMAHITS, -0.8431742787361145, -0.06592534628829785, 0.1087089401533436, 0.32971038830061694, -0.020896481350064278
2, WBOXBINOVCGMBYC, 0.9543036818504333, VKWBDIWXVDKQLBH, -0.3629002571105957, 0.11444605441231813, 0.11256657883156727, 0.33550943180716586, 0.08043513307347894
3, WBOXBINOVCAXBYC, 1.3467159271240234, DETOZFDJVMAXMST, -0.35613176226615906, 0.16581246789012635, 0.23130812076391585, 0.4809450288379285, 0.035546302795410156
4, WBOXBINOZYDXBYC, 1.5540841817855835, WSFXZINOVCGYQFD, -0.30994969606399536, 0.515040434896946, 0.28643844646490446, 0.5351994455013052, 0.398917019367218
