Generation, Best_Individual, Best_Fitness, Worst_Individual, Worst_Fitness, Avg_Fitness, Var_Fitness, StdDev_Fitness, Med_Fitness
0, PPGGSGAEGGGPGGA, 1.8051034212112427, XAIMAMFMXSFFOGP, -1.3004471063613892, 0.05995143250377441, 0.41228845996671604, 0.6420969241218307, -0.04230437055230141
1, SJRXZBOBUHXBVUQ, 1.559998869895935, XPVNGDETEQIJZNL, -1.3504663705825806, -0.01701240256993333, 0.2134421113156219, 0.46199795596476606, -0.006467036670073867
2, CEIOJNNCDUJUJUB, 1.319201946258545, KHQSEHNGPXWFSRE, -1.5633982419967651, -0.07941928198968526, 0.2103959934290459, 0.45868943025651454, -0.06827353313565254
3, RAVCAVVQRAUBHWE, 1.4559340476989746, EERRFTXTIPBLAZR, -1.401166558265686, -0.04693948095111409, 0.20771495941716775, 0.45575756649469656, -0.07012563198804855
4, YXRRXYYYYFPARPT, 1.4846582412719727, DHLXUEZXGUSLPJK, -1.5095913410186768, -0.01704358252475504, 0.2135936078667734, 0.46216188491347204, -0.03561225160956383
5, UUJMXBMLWICJOOB, 1.46343195438385, WBKGTZHCDLPCNJE, -1.5269801616668701, 0.03303023123630555, 0.23971268981010085, 0.4896046260097027, 0.006857250584289432
6, RGJUBUPWEJUGOBE, 1.4043878316879272, AVSHCRFJEAXLOML, -1.1398825645446777, 0.042460549200884996, 0.24068149814161935, 0.4905930066171137, 0.044354988262057304
7, EBJXILSVUBXJYNV, 1.6227775812149048, NWDWMGDJPOLLSMY, -1.2978482246398926, 0.09206898591248319, 0.2515939432911639, 0.5015914107031378, 0.07266690582036972
8, XBOBSBORUYRTVIP, 1.6167017221450806, JVLVFUIKLPPKSZW, -1.1990439891815186, 0.08879288097645621, 0.2282077986145438, 0.4777109990512504, 0.037834130227565765
9, BYJLRCURNXXUYUX, 1.5474843978881836, MODQSBSXCRRBTKW, -0.9525442123413086, 0.1370488520883955, 0.26762295710227396, 0.5173228751005255, 0.10344479605555534
10, RPRPVBOZYNRSDRP, 1.499912977218628, THUWXGMJEHSSPXI, -1.2207103967666626, 0.1319194129217649, 0.2882908319703767, 0.5369272129165895, 0.050565144047141075
11, TVJBOVZUWRUOJBU, 1.6119340658187866, NSBWDVWZQLSMXZP, -1.317527413368225, 0.16602979338169097, 0.29146357022687247, 0.5398736613568701, 0.1355842649936676
12, TCJBOVZUWCUOJJU, 1.6143038272857666, XJRIPJTFXVNCGPP, -1.3220791816711426, 0.18062932632374576, 0.2892643186304613, 0.5378329839554853, 0.09006151929497719
13, YBJOJWXOXIYQJJD, 1.5670558214187622, JDMHEFHYSHMVBJA, -1.2528334856033325, 0.18766927329730243, 0.3124034509686567, 0.558930631624942, 0.10842808708548546
14, CSOBBBOUUBWOQRL, 1.6161268949508667, XFBPJOHZERMZZHC, -1.1066927909851074, 0.18337103522395773, 0.2768391442116147, 0.5261550571947539, 0.1301448941230774
15, FNXOJWXOJFYOJJR, 1.536281943321228, AGDGUODMULVTKHD, -1.41815185546875, 0.11882945598755032, 0.2694743764198979, 0.5191092143469406, 0.11419255658984184
16, PPGORWXBYYUJOJG, 1.6518380641937256, YDDMTQZFOHJZZNL, -1.3323750495910645, 0.16476805932284333, 0.30531344176954145, 0.5525517548334649, 0.13565164059400558
17, BXUEXIISVXBUOVU, 1.57939875125885, WMRDEGHOEABWDFX, -1.3026878833770752, 0.1892591679210309, 0.2762275711663584, 0.525573563991149, 0.14394524693489075
18, VOOYMJOBOWXBBJQ, 1.6388275623321533, PCPPPPZTKONQBSM, -1.2173563241958618, 0.16849308646353894, 0.29148611423602294, 0.5398945399205506, 0.11091369763016701
19, BOOXMJOBOWXBIDQ, 1.5734790563583374, DREYLOZVKWINLSE, -1.2474079132080078, 0.18592165785492398, 0.31219486213280956, 0.5587440041135203, 0.1362748071551323
20, CSDYXXXGGWJOJBW, 1.6242424249649048, UOKPDZGQLSREZYR, -1.2940113544464111, 0.16858085009362547, 0.3092156539617834, 0.5560716266469486, 0.13710565865039825
21, MUJOGWWYJXWGWXJ, 1.7121294736862183, POBDAPJGJSMGHMJ, -1.2315958738327026, 0.18720631755376235, 0.3431722963011461, 0.5858090954407811, 0.13297989964485168
22, WJBGOSBJUVUJUBC, 1.6545803546905518, NPUEHLFYZANQVER, -1.3465349674224854, 0.16960749988816679, 0.3185832098642942, 0.5644317583767715, 0.12580068409442902
